,profit_0_day,count_users,cost,profit_1_day,profit_2_day,profit_3_day,visit_0_day,visit_1_day,visit_2_day,visit_3_day,sent_sex_request_btn_0_day,sent_sex_request_btn_1_day,sent_sex_request_btn_2_day,sent_sex_request_btn_3_day,accept_sex_request_btn_0_day,accept_sex_request_btn_1_day,accept_sex_request_btn_2_day,accept_sex_request_btn_3_day,livecamps_bnr_0_day,livecamps_bnr_1_day,livecamps_bnr_2_day,livecamps_bnr_3_day,chatlist_bnr_0_day,chatlist_bnr_1_day,chatlist_bnr_2_day,chatlist_bnr_3_day,chat_invite_0_day,chat_invite_1_day,chat_invite_2_day,chat_invite_3_day
223,9.2,34,20.0,0.0,0.0,0.0,264,123.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,2.0,8,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,3.6,49,6.0,0.0,0.0,2.5,261,317.0,14.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,7.7,21,14.0,0.0,0.0,2.0,653,124.0,31.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,3.0,2,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,39.4,504,48.0,3.7,0.0,0.0,1810,569.0,300.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
95,7.9,90,9.0,0.0,0.0,0.0,758,93.0,93.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
471,10.85,431,15.0,0.0,0.0,0.0,1697,237.0,143.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,7.25,460,3.0,3.0,0.0,0.0,2693,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,6.9,21,8.0,0.0,0.0,0.0,960,50.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
